
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 607, time 26.957418203353882 
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
[RL] Updates 640, num timesteps 10502144, FPS 522, time 20108.486377239227 
Weights 0.669_0.331, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 6422.3/6433.5, min/max reward 6361.0/6482.0
[RL] Updates 645, num timesteps 10584064, FPS 522, time 20275.55168414116 
Weights 0.669_0.331, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 6401.8/6409.5, min/max reward 6332.8/6460.3
[RL] Updates 650, num timesteps 10665984, FPS 521, time 20448.125298023224 
Weights 0.669_0.331, last 10 training episodes: mean/median length 768.3/1000.0, mean/median reward 4874.2/6410.8, min/max reward 656.8/6544.7
[RL] Updates 655, num timesteps 10747904, FPS 521, time 20626.99805545807 
Weights 0.669_0.331, last 10 training episodes: mean/median length 865.9/1000.0, mean/median reward 5555.3/6457.8, min/max reward 581.5/6512.4
[RL] Updates 660, num timesteps 10829824, FPS 520, time 20802.9539642334 
Weights 0.669_0.331, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 6509.9/6517.0, min/max reward 6462.6/6553.0
[RL] Updates 665, num timesteps 10911744, FPS 520, time 20979.910575389862 
Weights 0.669_0.331, last 10 training episodes: mean/median length 818.4/1000.0, mean/median reward 5266.1/6478.5, min/max reward 316.2/6512.4
[RL] Updates 670, num timesteps 10993664, FPS 519, time 21151.876166820526 
Weights 0.669_0.331, last 10 training episodes: mean/median length 912.5/1000.0, mean/median reward 5910.8/6496.4, min/max reward 3150.5/6572.5
[RL] Updates 675, num timesteps 11075584, FPS 519, time 21320.219915628433 
Weights 0.669_0.331, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 6553.2/6551.8, min/max reward 6473.5/6641.5
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
[RL] Updates 640, num timesteps 10502144, FPS 522, time 20110.639756679535 
Weights 0.625_0.375, last 10 training episodes: mean/median length 638.8/838.5, mean/median reward 2518.8/3310.1, min/max reward 459.6/3987.7
[RL] Updates 645, num timesteps 10584064, FPS 521, time 20290.41162633896 
Weights 0.625_0.375, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 3973.7/3980.0, min/max reward 3954.4/3986.9
[RL] Updates 650, num timesteps 10665984, FPS 520, time 20474.429958820343 
Weights 0.625_0.375, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 3978.7/3982.2, min/max reward 3960.8/3989.0
[RL] Updates 655, num timesteps 10747904, FPS 520, time 20664.316157341003 
Weights 0.625_0.375, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 3994.7/3997.7, min/max reward 3974.4/4001.7
[RL] Updates 660, num timesteps 10829824, FPS 519, time 20859.547738075256 
Weights 0.625_0.375, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 4004.0/4005.8, min/max reward 3982.5/4020.1
[RL] Updates 665, num timesteps 10911744, FPS 518, time 21050.04400229454 
Weights 0.625_0.375, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 4019.9/4017.6, min/max reward 4011.7/4029.4
[RL] Updates 670, num timesteps 10993664, FPS 517, time 21240.81909418106 
Weights 0.625_0.375, last 10 training episodes: mean/median length 916.8/1000.0, mean/median reward 3692.4/4036.4, min/max reward 631.3/4042.0
[RL] Updates 675, num timesteps 11075584, FPS 517, time 21414.308536291122 
Weights 0.625_0.375, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 4042.8/4043.1, min/max reward 4033.3/4052.6
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
[RL] Updates 640, num timesteps 10502144, FPS 522, time 20113.42006802559 
Weights 0.778_0.222, last 10 training episodes: mean/median length 845.4/1000.0, mean/median reward 3002.6/3544.3, min/max reward 552.3/3556.5
[RL] Updates 645, num timesteps 10584064, FPS 521, time 20299.031749486923 
Weights 0.778_0.222, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 3584.8/3585.1, min/max reward 3576.5/3593.3
[RL] Updates 650, num timesteps 10665984, FPS 520, time 20488.911066770554 
Weights 0.778_0.222, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 3614.8/3614.7, min/max reward 3606.5/3625.9
[RL] Updates 655, num timesteps 10747904, FPS 519, time 20678.288440465927 
Weights 0.778_0.222, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 3649.9/3649.6, min/max reward 3638.1/3672.4
[RL] Updates 660, num timesteps 10829824, FPS 518, time 20869.571883440018 
Weights 0.778_0.222, last 10 training episodes: mean/median length 921.9/1000.0, mean/median reward 3386.5/3671.0, min/max reward 800.3/3696.9
